XKRatio        Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.55634        6.47239        2.04888        8.17618        
1.9            3.40957        2.1717         7.77027        8.75891        
2.5            2.98667        4.56514        2.88699        6.17215        
3.25           2.36592        5.58211        0.274984       6.06904        
4.35           4.15777        0.873905       1.3695         4.46389        
6.5            4.80206        1.21611        2.53424        5.56427        
