Kshort         Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           0.0182011      0.32151        4.38023        0.0874785      1.35183        0.165972       4              6.09531        
0.75           0.03669        0.454063       2.91766        0.095319       1.2889         0.358878       4              5.1497         
0.85           0.0571005      0.396892       2.20136        0.0332977      1.27481        0.306105       4              4.76725        
0.95           0.0366429      0.223689       1.91566        0.0387806      1.31744        0.0343884      4              4.63244        
1.05           0.0776108      0.180867       1.687          0.049521       1.27244        0.296795       4              4.5381         
1.15           0.125355       0.107778       1.88645        0.0659806      1.37982        0.682816       4              4.68621        
1.3            0.144253       0.230561       1.70228        0.037721       1.41894        1.45213        4              4.80575        
1.5            0.0186945      0.0819551      1.22925        0.105068       1.51895        1.70279        4              4.76821        
1.7            0.111538       1.41112        0.409335       0.095358       1.50565        1.3104         4              4.70792        
1.9            0.075644       2.31311        0.820171       0.144809       1.51581        0.737081       4              4.98907        
2.1            0.0329279      2.57397        0.60756        0.151608       1.66564        0.335979       4              5.08977        
2.3            0.0182761      2.16168        0.28936        0.170015       1.57999        0.0557687      4              4.82548        
2.5            0.0166489      2.01677        0.204206       0.187093       1.79694        0.0520161      4              4.83488        
2.7            0.0206653      1.75768        0.130522       0.179105       1.75124        0.0805989      4              4.71299        
3              0.0131504      1.69336        0.196503       0.204387       1.80644        0.120792       4              4.71443        
3.45           0.011682       1.25365        0              0.248025       1.70157        0.104826       4              4.53207        
3.95           0.0144397      0.84444        0.296739       0.32454        1.6517         0.222947       4              4.43672        
4.6            0              0.843763       0.158511       0.264164       1.36115        0.127668       4              4.32156        
5.5            0              0.965218       0.408628       0.296508       1.14333        0.125009       4              4.30225        
7              0              0.92482        0.33976        0.181277       1.51486        0              4              4.39299        
10             0              1.70765        1.88099        0.190081       1.81165        0.567699       4              5.1083         
