LKRatio        Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.34376        1.43949        0.847641       3.73783        
1.9            3.60823        2.78546        0.872165       4.64099        
2.5            3.37155        2.64512        0.093675       4.28635        
3.25           3.05818        3.53355        0.115929       4.67459        
4.35           2.55993        2.85768        0.0257559      3.8367         
6.5            2.17549        3.01197        0.165107       3.71914        
10             4.75334        0.140158       0.0604244      4.75578        
