Xi             Centrality:40-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           1.06481        2.79817        1.48638        3.78479        1.78173        4              6.68372        
0.75           0.510321       3.04245        0              2.07046        0              4              5.45928        
0.85           1.05083        1.52404        0              2.09152        0              4              4.87867        
0.95           0              0.793583       2.29185        2.0813         1.45846        4              5.32365        
1.05           1.69021        1.14955        3.0909         2.07001        1.2095         4              5.95649        
1.15           0              0.586789       2.47104        1.918          0.401982       4              5.12744        
1.3            0.388487       0.769161       1.84421        1.82125        0.647653       4              4.88672        
1.5            0.317967       1.02442        2.5398         1.17154        0.526013       4              5.02497        
1.7            0.562151       0.770885       3.41576        1.28837        0.275001       4              5.50575        
1.9            0.198312       0.537212       0.75054        1.19957        0.225133       4              4.28729        
2.1            0.397773       0.422375       0              1.14754        0.252886       4              4.20921        
2.3            0              0.66089        0.805709       1.1733         0.375021       4              4.31314        
2.5            0.250294       0.702689       1.85079        1.17611        0.364042       4              4.63655        
2.7            0.664455       0.907519       1.33623        1.12728        0.171067       4              4.51117        
3              0.353123       0.592981       0              1.04368        0.205493       4              4.19617        
3.45           0              0.601764       0.66431        1.06126        0.422267       4              4.25535        
3.95           0              1.58753        0.548603       0.909169       0              4              4.43259        
4.6            0.215964       1.79614        4.46761        0.845901       0.100059       4              6.32122        
5.5            0              2.69546        1.29813        1.19071        0              4              5.13502        
7              0              3.65903        3.4269         1.2067         0              4              6.52597        
