Kshort         Centrality:0-10
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           0.029043       0.307539       3.95244        0.0780953      1.3912         0.255037       4              5.80722        
0.75           0.0595574      0.544349       2.42095        0.096523       1.32959        0.531514       4              4.92144        
0.85           0.0624682      0.467304       1.68896        0.0279342      1.31626        0.46585        4              4.58532        
0.95           0.068718       0.221054       1.47184        0.0589095      1.38236        0.0696869      4              4.48766        
1.05           0.124668       0.234978       1.37506        0.105033       1.35533        0.384311       4              4.46735        
1.15           0.176822       0.291454       1.77074        0.130886       1.46019        0.826542       4              4.69938        
1.3            0.182642       0.504437       1.65282        0.104674       1.46409        1.61662        4              4.87725        
1.5            0.0507669      0.370498       1.15183        0.109414       1.56075        1.84176        4              4.82768        
1.7            0.129992       1.55138        0.547061       0.105839       1.50087        1.32145        4              4.76791        
1.9            0.0965803      2.76165        1.18488        0.178318       1.51996        0.694786       4              5.27871        
2.1            0.0352052      3.34672        1.04142        0.180576       1.68268        0.124093       4              5.58263        
2.3            0.0202678      2.82128        0.495848       0.188622       1.57453        0.112781       4              5.17043        
2.5            0.0611151      2.57598        0.409712       0.218106       1.83043        0.120084       4              5.12052        
2.7            0.0317094      2.07156        0.126641       0.211966       1.88074        0.152651       4              4.89017        
3              0.0120798      2.12681        0.162562       0.263245       1.75227        0.147798       4              4.86944        
3.45           0.0552538      1.74194        0.0965949      0.266447       1.68896        0.252599       4              4.69405        
3.95           0.0168535      1.3368         0.327603       0.442322       1.7795         0.137336       4              4.61257        
4.6            0              1.36036        0.232903       0.260919       1.40676        0.130029       4              4.46864        
5.5            0              1.20866        0              0.396371       1.28502        0.124194       4              4.39143        
7              0              1.22818        0.436645       0.352878       1.41915        0              4              4.45394        
10             0              2.27804        1.74658        0.199042       1.783          0.672074       4              5.28303        
