AntiLa         Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            49.4619        6.83774        1.44495        49.9532        
1.9            9.52925        2.32816        1.18816        9.88123        
2.5            3.4471         2.02261        0.0816864      3.99751        
3.25           2.14157        1.02835        0.520728       2.43207        
4.35           0.950517       4.31917        0.655741       4.47087        
6.5            0.344304       3.56008        0.393073       3.59822        
10             0.0795831      15.4223        0.141879       15.4232        
