AntiLa         Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            21.0095        0.950701       1.12063        21.0609        
1.9            4.91455        1.78275        0.194864       5.23153        
2.5            2.22426        1.17056        0.518835       2.56646        
3.25           1.21381        1.34601        0.150425       1.81871        
4.35           0.530656       3.25046        0.102823       3.29509        
6.5            0.149348       8.02427        0.223747       8.02877        
10             0.0426378      8.48832        0.483696       8.5022         
