XKRatio        Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.92879        24.1167        96.2572        99.3547        
1.9            4.24387        2.75849        3.11513        5.94338        
2.5            3.21883        5.90253        2.12573        7.0512         
3.25           2.68607        0.664891       1.90836        3.36138        
4.35           5.45228        0.636682       1.12135        5.60269        
6.5            4.21018        15.2572        1.30529        15.8812        
