Omega          Centrality:40-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
1.05           0              0              1.1974         6.67795        1.3751         4              7.99498        
1.4            4.8283         2.68964        2.17494        9.53877        2.47574        4              12.1817        
1.8            0              3.16902        2.53253        8.19317        0.458723       4              9.98974        
2.1            4.11592        3.40865        3.74626        10.2374        2.24748        4              12.9788        
2.3            6.0996         3.37958        6.37478        11.9313        0              4              15.736         
2.5            5.85206        4.6278         5.54386        8.80022        2.05656        4              13.5673        
2.7            5.69003        5.12117        0              8.16824        1.09687        4              11.9384        
3              2.25892        4.93583        6.13441        7.51693        0.739062       4              11.8383        
3.45           0              2.43018        1.76689        5.99261        1.36267        4              7.92439        
3.95           3.3995         4.38556        1.83522        5.53768        0.814825       4              9.02705        
4.6            0              0              2.72776        6.09782        0              4              7.78615        
