OKRatio        Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           9.49788        0.331505       0.804503       9.53765        
2.5            14.8995        1.29714        0.673893       14.971         
3.25           10.9416        3.86515        4.60534        12.4847        
4.35           7.67299        1.37388        0.782441       7.83419        
