Lambda         Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            21.6529        2.06564        0.190533       21.7521        
1.9            5.61163        1.36621        0.383579       5.78827        
2.5            2.30826        3.32466        0.213949       4.05305        
3.25           1.23287        3.07871        0.00762388     3.3164         
4.35           0.495578       3.63568        0.25841        3.67839        
6.5            0.165205       7.39595        0.000877538    7.3978         
10             0.0586861      11.8396        0.158445       11.8408        
