AntiLa         Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            9.9346         1.54126        2.0294         10.2562        
1.9            1.77788        0.966385       0.117332       2.02695        
2.5            0.791691       3.01985        0.129373       3.12458        
3.25           0.326588       1.26726        0.337899       1.35159        
4.35           0.12407        3.73486        0.0467918      3.73721        
6.5            0.0382547      3.05917        0.113096       3.0615         
10             0.0180784      9.15804        0.471101       9.17017        
