Omega          Centrality:10-40
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
1.05           0              0              3.15065        8.48067        1.92696        4              10.0778        
1.4            0              3.50372        3.15619        9.82936        2.60369        4              11.901         
1.8            0              3.85403        2.86575        9.70756        0              4              11.5457        
2.1            3.09866        5.33716        4.88993        13.7061        2.41475        4              16.4829        
2.3            6.00205        4.25236        6.84132        12.8915        0              4              16.8256        
2.5            6.39896        4.85891        6.72057        10.8366        2.35477        4              15.7702        
2.7            6.34931        5.82614        0              8.78896        1.33814        4              13.0113        
3              2.41389        5.96904        6.65705        9.17286        0              4              13.635         
3.45           0              3.08528        3.11639        7.54311        1.28999        4              9.6847         
3.95           0              4.61642        2.2237         5.77479        0              4              8.69508        
4.6            0              0              4.1881         6.00407        0              4              8.342          
