Xi             Centrality:10-40
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           1.68123        5.52704        1.30684        3.44341        0              4              7.93345        
0.75           0              4.98195        2.55295        2.36157        0              4              7.27422        
0.85           0              2.96805        1.30618        2.52614        1.18305        4              5.85631        
0.95           0.694563       1.35322        3.14416        2.12553        1.5347         4              5.92221        
1.05           0.350969       1.48833        1.83911        2.16047        1.06483        4              5.24615        
1.15           0              1.45693        2.88868        1.80241        0.634604       4              5.48803        
1.3            0              1.07573        1.39556        1.64169        0.537681       4              4.6999         
1.5            0.301204       1.21043        2.80934        1.36121        0.45893        4              5.24517        
1.7            0.693313       1.46486        4.31703        1.40549        0.245118       4              6.26887        
1.9            0              0.399537       1.71189        1.20092        0.223788       4              4.53679        
2.1            0.471296       0.956293       0              1.19819        0              4              4.30956        
2.3            0.172086       0.939178       0.221199       1.02456        0.210651       4              4.24908        
2.5            0.096255       0.828988       1.24305        1.06768        0.455158       4              4.42592        
2.7            0.646584       0.765609       1.39579        1.16064        0.229402       4              4.51134        
3              0              0.46701        0              1.11861        0.241131       4              4.18659        
3.45           0              0.708758       0.607794       1.04546        0.456949       4              4.26304        
3.95           0.392464       2.63632        2.23066        0.797469       0.332724       4              5.36905        
4.6            0              1.49775        5.86689        0.804922       0.319723       4              7.30848        
5.5            0.181086       3.15206        1.60478        1.26206        0              4              5.48966        
7              0              1.85849        3.15936        1.07237        0              4              5.53042        
