Lambda         Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            6.3133         3.23796        0.865227       7.14778        
1.9            1.78152        2.49484        0.32865        3.08319        
2.5            0.721521       2.88804        0.109348       2.97881        
3.25           0.352591       4.47113        0.216168       4.49022        
4.35           0.12362        3.71341        0.0542912      3.71586        
6.5            0.0396684      6.03834        0.0130377      6.03848        
10             0.0133119      8.60136        0.169971       8.60305        
