Xi             Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            224.653        68.0964        150.666        278.938        
1.9            8.45234        10.3708        2.49829        13.6101        
2.5            4.66672        1.14991        1.05341        4.92039        
3.25           2.36969        7.35203        0.683223       7.75464        
4.35           1.38266        6.18155        0.846994       6.39067        
6.5            0.565087       5.67258        0.138357       5.70234        
