AntiLa         Centrality:40-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           0.53843        0.211103       2.0088         0.284777       0.16626        4              4.52532        
0.75           1.079          0.30373        2.16203        0.180541       0.428666       4              4.70608        
0.85           1.50634        0.449278       2.12496        0.22975        0.600052       4              4.83728        
0.95           1.8065         0.54353        2.29389        0.546577       0.849767       4              5.08347        
1.05           1.98162        0.674568       1.63012        0.443923       1.09673        4              4.94359        
1.15           2.08807        0.865589       1.0711         0.389083       1.12157        4              4.86476        
1.3            2.26087        0.714353       0.677809       0.0962084      1.13009        4              4.83401        
1.5            2.34709        0.827345       0.777128       0.0994941      1.10166        4              4.9011         
1.7            1.66796        0.743021       0.656172       0.0872923      0.885606       4              4.53395        
1.9            0.813228       0.460251       0.793737       0.119396       1.08041        4              4.32258        
2.1            0.304534       0.32285        1.25432        0.131728       0.840704       4              4.30051        
2.3            0.0494838      0.267401       1.39375        0.145043       1.28677        4              4.43771        
2.5            0.0294503      0.212342       1.69253        0.169586       1.30386        4              4.54306        
2.7            0.0233822      0.380158       1.37604        0.188365       1.25439        4              4.43255        
3              0.0138094      0.513107       1.8833         0.163845       1.36086        4              4.65715        
3.45           0.0304846      0.81952        0.925776       0.21708        1.26196        4              4.37827        
3.95           0              0.437965       2.4425         0.216823       1.09974        4              4.83881        
4.6            0.00477697     0.491107       2.76047        0.309369       1.35045        4              5.07748        
5.5            0              0.520315       0              0.551542       0.990767       4              4.19005        
7              0              0.883671       1.18629        0.720825       2.9662         4              5.24462        
10             0              1.22624        4.32617        0              1.59187        4              6.22523        
