XLRatio        Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.86439        3.43942        2.21579        5.62786        
1.9            3.19577        0.0256909      9.63524        10.1514        
2.5            2.8432         4.00101        4.06597        6.37369        
3.25           2.46213        2.95037        0.663295       3.89958        
4.35           4.26287        1.2382         1.12496        4.57938        
6.5            4.80212        3.99257        2.72993        6.81568        
