XLRatio        Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.57829        5.57221        124.383        124.592        
1.9            3.71146        2.54852        3.64851        5.79495        
2.5            2.77933        2.17692        2.54662        4.35303        
3.25           2.42726        2.95659        2.30474        4.46596        
4.35           5.4978         1.99415        1.84237        6.13162        
6.5            3.98081        12.5592        1.29035        13.2381        
