AntiLa         Centrality:0-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           1.33212        0.218218       3.83115        0.262214       0.212099       4              5.71083        
0.75           1.59742        0.3531         3.81079        0.191927       0.493731       4              5.78611        
0.85           1.84082        0.585447       3.53293        0.360552       0.670642       4              5.72649        
0.95           1.96318        0.741059       3.56068        0.658288       0.938478       4              5.86479        
1.05           2.06923        0.873368       2.5293         0.640918       1.13638        4              5.39852        
1.15           2.17455        1.00246        1.99559        0.571623       1.16635        4              5.2348         
1.3            2.28119        0.970979       1.04009        0.178723       1.2129         4              4.97308        
1.5            2.34063        0.992128       0.795643       0.0860801      1.19178        4              4.95214        
1.7            1.77875        0.973521       0.552704       0.0925121      0.917266       4              4.61163        
1.9            0.964805       0.501155       0.422858       0.125436       1.15168        4              4.32469        
2.1            0.45704        0.438188       0.837166       0.152802       0.897331       4              4.23442        
2.3            0.127975       0.22424        1.08383        0.181027       1.34615        4              4.36878        
2.5            0.0520678      0.195009       1.37564        0.189244       1.39929        4              4.46396        
2.7            0.0196377      0.438029       1.19742        0.135201       1.20228        4              4.36919        
3              0.0129897      0.616077       1.697          0.178727       1.40987        4              4.61294        
3.45           0.0215093      0.922306       0.898835       0.174687       1.42311        4              4.44013        
3.95           0              0.624036       2.39608        0.178485       1.16124        4              4.84881        
4.6            0              0.411745       2.70759        0.267086       1.4116         4              5.05614        
5.5            0              0.409999       1.0518         0.318756       1.25722        4              4.35392        
7              0              1.04061        1.64995        0.680049       2.78336        4              5.2929         
10             0              1.06018        0              0              1.96123        4              4.57935        
