AntiLa         Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            17.5174        3.99607        0.415548       17.9722        
1.9            3.46265        0.61815        0.190613       3.52255        
2.5            1.44334        1.06089        0.0485673      1.79195        
3.25           0.773369       0.760993       0.101641       1.08974        
4.35           0.338566       3.52271        0.0775784      3.5398         
6.5            0.108317       5.80553        0.21369        5.81047        
10             0.0247167      10.7183        0.178031       10.7198        
