Xi             Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            29.0238        18.1703        10.4071        35.789         
1.9            19.8125        30.6151        5.43344        36.8693        
2.5            6.34168        10.126         1.7443         12.0746        
3.25           3.29445        5.68775        1.03804        6.65443        
4.35           2.19142        7.79605        0.560761       8.11758        
6.5            0.898108       4.33879        2.0906         4.89921        
