Kshort         Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            7.34646        0.97286        0.331812       7.41803        
1.9            2.31067        2.55166        0.0482163      3.44274        
2.5            1.22612        3.83375        0.0238567      4.02512        
3.25           0.633411       5.54401        0.0379709      5.5802         
4.35           0.286877       6.10764        0.056605       6.11464        
6.5            0.116642       9.28723        0.196462       9.29004        
10             0.0588922      11.0138        0.0772806      11.0143        
