XLRatio        Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            5.78494        0.64068        24.8449        25.5176        
1.9            3.98423        9.02091        22.0001        24.1093        
2.5            2.98502        3.67741        1.07747        4.85743        
3.25           2.69723        4.61594        2.03494        5.7204         
4.35           4.54156        1.68263        2.64389        5.51789        
6.5            3.55717        2.41204        3.44404        5.50753        
