LKRatio        Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.34721        0.797305       0.2297         3.44852        
1.9            3.2398         1.78257        1.37987        3.94688        
2.5            2.94643        0.816816       1.02602        3.22511        
3.25           2.77581        2.11624        0.954199       3.61857        
4.35           2.35936        2.37302        0.235454       3.35458        
6.5            2.41472        4.28327        0.198031       4.92102        
10             6.46961        0.0104174      0.942505       6.53792        
