Kshort         Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            10.3463        0.419164       0.616184       10.3731        
1.9            4.18463        2.14146        0.0227993      4.70079        
2.5            2.20341        4.17           0.262193       4.72363        
3.25           1.19477        4.92942        0.00194497     5.07215        
4.35           0.556215       6.88748        0.144497       6.91142        
6.5            0.217305       9.48392        0.391408       9.49448        
10             0.116306       9.81728        0.0376041      9.81804        
