LKRatio        Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            4.07645        1.82044        5.66816        7.21523        
1.9            3.94076        2.86531        0.991577       4.97221        
2.5            3.77098        3.121          0.85536        4.96916        
3.25           3.28932        3.15997        0.361604       4.57557        
4.35           2.87069        2.61473        0.126469       3.88506        
6.5            2.20942        4.26975        0.68519        4.85611        
10             4.88783        4.54913        0.322798       6.68503        
