Lambda         Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            37.0075        2.34129        0.886801       37.0921        
1.9            7.96261        0.294958       0.156751       7.96961        
2.5            3.67745        1.09532        0.305321       3.84923        
3.25           1.98997        3.65026        0.619448       4.20335        
4.35           0.862266       5.13307        0.00489092     5.20499        
6.5            0.318885       7.59884        0.350583       7.61361        
10             0.116931       14.5026        0.33309        14.5069        
