Omega          Centrality:0-10
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.55           25.1181        33.3869        3.72759        41.9464        
2.5            12.4954        0.574034       0.878991       12.5395        
3.25           5.82657        9.08592        0.242605       10.7964        
4.35           2.99739        0.987109       0.210949       3.16279        
