Lambda         Centrality:0-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            14.2787        3.18648        0.0340428      14.63          
1.9            3.47151        0.606449       0.0260545      3.52418        
2.5            1.47204        1.76418        0.0764296      2.29893        
3.25           0.774767       3.14166        0.0558834      3.23626        
4.35           0.319381       3.94506        0.0988976      3.9592         
6.5            0.106856       7.18814        0.0580669      7.18917        
10             0.0405263      11.1801        0.127329       11.1809        
