Kshort         Centrality:10-40
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           0.017272       0.34246        4.29653        0.087155       1.38474        0.165093       4              6.04401        
0.75           0.0345118      0.484069       2.85087        0.102067       1.31228        0.347672       4              5.12019        
0.85           0.0571141      0.433087       2.1767         0.0399291      1.2946         0.305009       4              4.76439        
0.95           0.0341791      0.231441       1.90305        0.0410478      1.3138         0.030143       4              4.62655        
1.05           0.0751633      0.195837       1.6615         0.0538171      1.28815        0.313001       4              4.53484        
1.15           0.127131       0.0868066      1.85454        0.0646333      1.38377        0.67085        4              4.67248        
1.3            0.149927       0.219076       1.69101        0.0409086      1.43412        1.44405        4              4.80351        
1.5            0.0423598      0.0867861      1.21473        0.1074         1.51702        1.69483        4              4.76133        
1.7            0.11399        1.44194        0.379032       0.0920826      1.53593        1.32578        4              4.72875        
1.9            0.0681609      2.32722        0.81501        0.142507       1.53304        0.770307       4              5.00487        
2.1            0.0323797      2.63233        0.595085       0.150143       1.71462        0.306602       4              5.13233        
2.3            0.0204329      2.15919        0.275963       0.171454       1.59402        0.0615814      4              4.82833        
2.5            0.0158731      1.98266        0.157691       0.194765       1.82578        0.0734234      4              4.83041        
2.7            0.0199174      1.83914        0.129421       0.185151       1.743          0.0835292      4              4.74119        
3              0.0194118      1.69474        0.166258       0.184999       1.83154        0.13548        4              4.72306        
3.45           0.0145764      1.2281         0.119198       0.253732       1.72374        0.075447       4              4.53475        
3.95           0.0105975      0.708672       0.352518       0.319895       1.63691        0.285847       4              4.41476        
4.6            0.000805237    0.829491       0.230297       0.273674       1.37107        0.163643       4              4.32696        
5.5            0.0060903      0.975406       0.448531       0.284791       1.13317        0.135481       4              4.30536        
7              0              0.957132       0.351299       0.184873       1.61403        0              4              4.43608        
10             0              1.72019        2.00955        0.224062       1.82407        0.567244       4              5.16687        
