AntiLa         Centrality:10-40
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           1.53795        0.298986       4.25218        0.250306       0.212973       0.0546251      4              6.05365        
0.75           1.66262        0.384655       4.19299        0.196312       0.481331       0.148095       4              6.06511        
0.85           1.88879        0.59079        3.77805        0.391187       0.682067       0              4              5.89987        
0.95           1.94898        0.751056       3.78836        0.728042       0.961402       0.36987        4              6.0254         
1.05           2.03842        0.904675       2.6698         0.678783       1.14486        1.44911        4              5.65445        
1.15           2.1566         1.00935        2.12026        0.549242       1.19469        2.89487        4              6.02283        
1.3            2.25636        0.961734       1.20001        0.213506       1.2321         4.39459        4              6.65824        
1.5            2.32101        0.998412       0.763576       0.0815184      1.21547        2.84031        4              5.70248        
1.7            1.78085        1.01789        0.717571       0.105222       0.915171       0.561467       4              4.67828        
1.9            0.962097       0.500621       0.417111       0.133674       1.16065        0              4              4.32611        
2.1            0.438426       0.49165        0.827609       0.154764       0.924093       0              4              4.24226        
2.3            0.120305       0.191045       1.09484        0.182405       1.33317        0              4              4.36581        
2.5            0.0509244      0.143461       1.41483        0.182203       1.4142         0              4              4.47863        
2.7            0.0172688      0.454169       1.21837        0.153116       1.13776        0              4              4.35992        
3              0.0137077      0.607769       1.65417        0.187175       1.40709        0.482502       4              4.621          
3.45           0              0.970429       0.897372       0.177931       1.4776         0              4              4.46788        
3.95           0              0.708807       2.34785        0.16333        1.20911        0              4              4.84804        
4.6            0              0.502112       2.80244        0.321584       1.45258        0              4              5.13022        
5.5            0              0.395785       1.26136        0.281137       1.42188        0              4              4.45516        
7              0              1.25912        1.41595        0.7579         2.60817        3.1028         4              6.04935        
10             0              1.72107        0              0.974961       2.10202        0              4              4.93266        
