LKRatio        Centrality:10-40
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            3.44596        1.23201        2.50868        4.43689        
1.9            3.63756        2.07012        0.51851        4.21736        
2.5            3.383          2.24309        0.40564        4.0793         
3.25           3.06091        4.05606        0.378577       5.0955         
4.35           2.51867        3.0951         0.693775       4.05026        
6.5            2.1705         1.76385        0.0105015      2.79684        
10             4.45264        0.228115       0.387132       4.47525        
