Xi             Centrality:40-100
pT(GeV/c)      ParRec         JetPt          UESub          Total          
1.1            7.2534         12.0829        0.921608       14.123         
1.9            3.75777        5.2917         1.1579         6.5927         
2.5            1.25836        9.74481        0.202547       9.8278         
3.25           0.589614       3.83834        0.231166       3.89024        
4.35           0.27936        5.31875        0.843684       5.39249        
6.5            0.144472       14.2602        0.45827        14.2683        
